1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,2
10,2
11,3
12,3
13,3
14,3
15,3
16,4
17,4
18,4
19,4
20,4
21,5
22,5
23,5
24,5
25,5
26,6
27,6
28,6
29,6
30,6
31,7
32,7
33,7
34,7
35,7
36,8
37,8
38,8
39,8
40,8
41,2
42,2
43,2
44,2
45,2
46,3
47,3
48,3
49,3
50,3
51,9
52,9
53,9
54,9
55,9
56,10
57,10
58,10
59,10
60,10
61,4
62,4
63,4
64,4
65,4
66,11
67,11
68,11
69,11
70,11
71,12
72,12
73,12
74,12
75,12
76,13
77,13
78,13
79,13
80,13
81,14
82,14
83,14
84,14
85,14
86,15
87,15
88,15
89,15
90,15
91,12
92,12
93,12
94,12
95,12
96,8
97,8
98,8
99,8
100,8
101,13
102,13
103,13
104,13
105,13
106,8
107,8
108,8
109,8
110,8
111,15
112,15
113,15
114,15
115,15
116,7
117,7
118,7
119,7
120,7
121,7
122,7
123,7
124,7
125,7
